text,true,pred
operating profit totalled eur mn eur mn representing net sale,positive,negative
board director propose dividend per share per share paid,positive,neutral
biohit already service many current genesis customer customer base expected expand result agreement,positive,neutral
operating profit wa eur mn eur mn,positive,negative
elcoteq se privately held provider electronics manufacturing service communication company said thursday signed manufacturing supply deal communication equipment company andrew,positive,neutral
operating profit totaled eur mn slightly eur mn corresponding period,positive,negative
operating profit wa eur mn eur mn,positive,negative
operating profit wa eur mn eur mn,positive,negative
operating profit totalled eur mn eur mn,positive,negative
growth net sale first half ha compared first half,positive,negative
new factory working model reorganisation would decrease nokian tyre cost factory eur million usd,positive,negative
unit cost flight operation fell percent,positive,negative
company result tax totalled eur mn eur mn corresponding period,positive,negative
finnish pharmaceutical company orion report profit tax eur mn third quarter eur mn corresponding period,positive,negative
profit tax wa eur mn eur mn year earlier,positive,negative
finnish power supply solution system provider efore oyj said net loss widened mln euro mln first quarter fiscal ending october euro mln period fiscal,negative,positive
adp news apr finnish business information system developer solteq oyj hel said today net loss widened eur usd first quarter eur peri,negative,positive
earnings per share eps amounted loss,positive,negative
operating profit totalled eur mn operating loss eur mn,positive,negative
earnings per share eps amounted loss,positive,negative
ragutis based lithuania city kaunas boosted sale last year per cent million liter,positive,negative
combined activity create value shareholder good employee customer,positive,neutral
finnish flexible packaging manufacturer suominen corporation report net sale eur mn first quarter compared eur mn year earlier,positive,negative
according atrium president ceo matti tikkakoski company swedish operation significantly improved first quarter,positive,negative
basware ceo ilkka sihvo comment conjunction interim report whole basware succeeded well second quarter,positive,neutral
citigroup inc nyse c ha announced global transaction service gts business ha awarded new mandate pohjola bank group,positive,neutral
company also said poland profitability program ha launched oborniki steel frame sandwich panel plant,positive,neutral
finnish airline finnair ha deal uk public sector official airline flight london heathrow osaka japan well flight manchester uk helsinki finland,positive,neutral
however sale volume food industry expected remain relatively good level finland scandinavia atrium said,positive,negative
moderate significant change resulted significant reduction estimated cvd risk,positive,neutral
according finnair technical service measure due employment situation,neutral,negative
india trade russia currently stand four billion dollar growing per cent fiscal,positive,negative
viking line manages well current ferry,positive,neutral
net profit wa mln compared mln,positive,negative
systeemitiimi sale project resource also strengthened director paul skogberg said,positive,neutral
mn pretax profit eur mn eur mn third quarter,positive,negative
earnings per share eps amounted,neutral,negative
marathon ha percent stake plx said according bloomberg,neutral,positive
approximately dwt vessel ha ordered india,neutral,positive
net profit wa eur million company paid dividend eur apiece,neutral,positive
scanfil net sale totalled eur mn operating profit eur mn,neutral,negative
first quarter sacanfil net sale totalled eur mn operating profit eur mn,neutral,negative
third quarter net sale totaled eur mn operating profit eur mn,neutral,positive
profit tax totaled eur mn,neutral,positive
company expects net sale whole eur mn,neutral,positive
company net sale eur mn profit eur mn,neutral,positive
said ha indicated interest domestic consolidation,neutral,positive
third quarter fiscal efore swung net loss eur versus net profit eur corresponding period fiscal,negative,positive
last year million passenger flew airline percent,negative,positive
operating profit wa eur mn compared eur mn,negative,positive
china based operation enable u fully leverage resource expertise wireless solution also strengthen capability offer product customer china,positive,neutral
cash flow business operation totalled eur mn compared negative eur mn first half,positive,negative
cash flow operation totalled eur mn compared negative eur mn corresponding period,positive,negative
agreement expired earlier month,neutral,positive
finnair passenger load factor measure number sold seat share available seat dropped percentage point september,negative,neutral
financing arrangement enable company ensure line treasury policy ha sufficient financial instrument disposal potential capital requirement,positive,neutral
ruukki group calculates ha lost eur failed project,negative,positive
finnish business software group affectogenimap oyj said net profit halved mln euro mln first nine month mln euro mln period,negative,positive
finnish metal product company componenta oyj net profit went slightly mln euro mln first half mln euro mln period,negative,positive
insurer axa par c slid eur citigroup ing slashed target stock,negative,neutral
pretax profit totaled eur mn eur mn,negative,positive
operating profit totaled eur mn eur mn,negative,positive
profit period wa eur mn eur mn,negative,positive
company said sale three month end march slid u last year,negative,positive
sale ragutis controlled finnish brewery olvi declined percent million liter company held percent market,negative,positive
